fecha,AQI_SO2,AQI_NO2,AQI_PM10,AQI_CO,AQI_O3,AQI
2013-10-1,7,36,85,22,21,85
2013-10-10,26,27,92,17,21,92
2013-10-11,18,37,72,27,43,72
2013-10-12,3,41,66,13,37,66
2013-10-13,4,32,51,14,25,51
2013-10-14,2,24,35,11,17,35
2013-10-15,3,25,24,8,25,25
2013-10-16,4,34,64,13,29,64
2013-10-17,12,48,108,18,26,108
2013-10-18,22,65,150,30,11,150
2013-10-19,9,24,56,25,22,56
2013-10-2,3,20,28,5,46,46
2013-10-20,4,27,41,9,25,41
2013-10-21,11,42,96,11,0,96
2013-10-22,19,37,78,11,26,78
2013-10-23,4,22,57,8,26,57
2013-10-24,2,13,38,6,40,40
2013-10-25,6,29,55,16,37,55
2013-10-26,9,36,70,21,36,70
2013-10-27,19,63,136,36,6,136
2013-10-28,26,61,174,57,44,174
2013-10-29,8,23,45,52,31,52
2013-10-3,17,31,69,28,38,69
2013-10-30,8,39,78,19,27,78
2013-10-31,8,47,98,22,22,98
2013-10-4,26,46,108,34,79,108
2013-10-5,16,57,173,29,87,173
2013-10-6,25,50,141,29,25,141
2013-10-7,24,30,69,23,32,69
2013-10-8,17,29,67,14,38,67
2013-10-9,25,48,115,19,16,115
2013-11-1,16,48,118,19,15,118
2013-11-10,5,10,29,7,29,29
2013-11-11,10,21,43,9,22,43
2013-11-12,11,21,50,21,26,50
2013-11-13,45,65,162,44,1,162
2013-11-14,7,12,53,7,28,53
2013-11-15,19,44,107,20,8,107
2013-11-16,6,11,56,36,30,56
2013-11-17,5,10,18,6,29,29
2013-11-18,5,13,13,6,26,26
2013-11-19,7,14,30,10,16,30
2013-11-2,11,68,168,23,20,168
2013-11-20,7,17,35,12,19,35
2013-11-21,31,33,82,44,8,82
2013-11-22,41,54,119,49,9,119
2013-11-23,37,57,132,55,7,132
2013-11-24,17,26,108,62,18,108
2013-11-25,6,14,24,16,25,25
2013-11-26,6,12,46,31,26,46
2013-11-27,2,5,36,4,24,36
2013-11-28,6,15,36,20,25,36
2013-11-29,15,37,70,37,16,70
2013-11-3,4,15,16,6,34,34
2013-11-30,17,24,52,24,24,52
2013-11-4,8,28,57,13,27,57
2013-11-5,29,50,124,19,5,124
2013-11-6,4,11,65,24,31,65
2013-11-7,6,18,51,24,19,51
2013-11-9,12,14,53,12,22,53
2013-12-1,20,37,71,22,13,71
2013-12-10,7,14,34,16,27,34
2013-12-11,8,20,31,15,17,31
2013-12-12,8,16,26,15,25,26
2013-12-13,16,25,58,15,15,58
2013-12-14,9,18,30,9,11,30
2013-12-19,17,29,61,29,16,61
2013-12-2,32,42,90,51,1,90
2013-12-20,20,30,54,31,27,54
2013-12-21,24,35,63,29,18,63
2013-12-22,37,48,104,56,10,104
2013-12-23,42,49,114,56,16,114
2013-12-24,63,64,158,70,2,158
2013-12-25,48,50,150,69,26,150
2013-12-26,6,10,24,8,26,26
2013-12-27,12,18,22,10,23,23
2013-12-3,24,32,77,52,25,77
2013-12-30,27,47,85,19,0,85
2013-12-31,14,26,140,31,31,140
2013-12-4,23,36,77,42,12,77
2013-12-5,16,22,52,41,26,52
2013-12-6,28,39,100,46,3,100
2013-12-7,45,53,166,83,1,166
2013-12-8,42,43,139,76,21,139
2013-12-9,6,13,13,11,25,25
2013-3-1,6,11,10,7,36,36
2013-3-10,12,25,57,15,40,57
2013-3-11,47,45,112,26,40,112
2013-3-12,14,36,81,21,22,81
2013-3-13,9,18,18,8,36,36
2013-3-14,28,35,77,17,36,77
2013-3-15,41,50,148,32,25,148
2013-3-16,39,45,150,33,44,150
2013-3-17,40,58,178,35,52,178
2013-3-18,11,23,82,41,52,82
2013-3-19,9,23,48,12,17,48
2013-3-2,20,33,39,17,25,39
2013-3-20,7,21,44,13,33,44
2013-3-21,12,43,104,19,12,104
2013-3-22,14,35,95,17,31,95
2013-3-23,7,42,65,15,2,65
2013-3-25,26,41,103,14,39,103
2013-3-26,40,53,149,29,22,149
2013-3-27,12,19,71,14,43,71
2013-3-28,7,20,50,15,42,50
2013-3-29,24,44,93,33,23,93
2013-3-3,33,41,83,28,36,83
2013-3-30,34,34,79,28,36,79
2013-3-31,8,36,120,17,4,120
2013-3-4,13,25,42,13,40,42
2013-3-5,51,69,115,43,40,115
2013-3-6,62,74,157,42,13,157
2013-3-7,53,77,181,56,40,181
2013-3-8,36,57,153,51,40,153
2013-3-9,19,23,129,26,39,129
2013-4-1,9,20,79,33,49,79
2013-4-10,4,16,28,9,39,39
2013-4-11,6,33,57,13,43,57
2013-4-12,13,46,90,11,42,90
2013-4-13,15,27,91,13,40,91
2013-4-14,8,21,78,17,44,78
2013-4-15,28,37,114,24,47,114
2013-4-16,18,24,108,14,48,108
2013-4-17,11,26,68,11,39,68
2013-4-18,2,12,40,5,41,41
2013-4-19,11,28,66,13,34,66
2013-4-2,21,34,92,22,82,92
2013-4-20,6,28,65,9,55,65
2013-4-21,5,39,94,10,12,94
2013-4-22,29,39,121,17,23,121
2013-4-23,15,31,119,16,18,119
2013-4-24,8,20,81,18,44,81
2013-4-25,3,20,36,9,42,42
2013-4-26,18,39,97,17,98,98
2013-4-27,23,27,88,12,112,112
2013-4-28,30,30,82,25,49,82
2013-4-29,3,14,54,7,52,54
2013-4-3,28,44,125,32,65,125
2013-4-30,4,22,50,7,55,55
2013-4-4,35,42,79,30,19,79
2013-4-5,7,21,46,23,38,46
2013-4-6,4,14,21,7,42,42
2013-4-7,23,36,86,31,37,86
2013-4-8,4,11,85,7,39,85
2013-4-9,3,7,27,5,42,42
2013-5-1,9,26,96,6,28,96
2013-5-10,9,30,72,12,57,72
2013-5-11,11,35,90,10,55,90
2013-5-12,12,32,76,11,147,147
2013-5-13,38,44,114,31,156,156
2013-5-14,11,25,84,30,98,98
2013-5-15,35,33,104,33,209,209
2013-5-16,18,32,83,14,191,191
2013-5-17,18,27,92,20,152,152
2013-5-18,11,26,100,27,117,117
2013-5-19,6,13,109,9,46,109
2013-5-2,32,38,105,12,69,105
2013-5-20,9,29,77,5,71,77
2013-5-23,26,44,119,27,205,205
2013-5-24,11,38,112,30,129,129
2013-5-25,17,31,84,18,223,223
2013-5-26,7,28,82,29,22,82
2013-5-27,4,28,66,15,30,66
2013-5-28,2,35,67,15,21,67
2013-5-29,3,16,52,5,73,73
2013-5-3,15,15,61,15,129,129
2013-5-30,11,42,93,11,202,202
2013-5-31,17,27,102,13,209,209
2013-5-4,16,19,84,9,113,113
2013-5-5,26,36,144,21,200,200
2013-5-6,18,26,153,21,213,213
2013-5-7,28,43,138,18,215,215
2013-5-8,38,33,103,22,87,103
2013-5-9,12,31,57,9,35,57
2013-6-1,5,31,84,10,122,122
2013-6-10,3,35,34,9,53,53
2013-6-11,3,44,67,8,158,158
2013-6-12,8,35,59,14,202,202
2013-6-13,18,42,93,23,236,236
2013-6-14,18,40,103,13,231,231
2013-6-15,20,55,114,20,215,215
2013-6-16,20,46,116,29,48,116
2013-6-17,5,28,52,14,189,189
2013-6-18,8,46,73,10,165,165
2013-6-19,12,29,78,17,173,173
2013-6-2,8,34,115,27,105,115
2013-6-20,6,30,52,5,79,79
2013-6-28,13,37,243,34,79,243
2013-6-29,6,31,76,27,40,76
2013-6-3,8,40,101,17,243,243
2013-6-30,10,35,137,34,71,137
2013-6-4,7,44,106,23,100,106
2013-6-5,2,28,82,25,20,82
2013-6-6,2,29,91,30,14,91
2013-6-7,3,34,89,27,5,89
2013-6-8,4,41,122,32,5,122
2013-6-9,3,34,52,26,18,52
2013-7-1,10,37,96,28,14,96
2013-7-10,2,27,38,7,30,38
2013-7-11,2,28,43,8,31,43
2013-7-12,4,24,67,11,245,245
2013-7-13,5,24,81,20,188,188
2013-7-14,9,24,72,18,188,188
2013-7-15,2,26,30,21,20,30
2013-7-16,3,21,29,12,43,43
2013-7-17,7,30,64,10,205,205
2013-7-18,9,27,89,23,74,89
2013-7-19,6,25,85,11,206,206
2013-7-2,3,22,26,24,63,63
2013-7-20,4,25,72,12,188,188
2013-7-21,5,29,76,11,171,171
2013-7-22,9,31,87,15,172,172
2013-7-23,5,18,59,10,144,144
2013-7-24,5,25,56,9,96,96
2013-7-25,7,25,65,18,232,232
2013-7-26,15,33,63,24,17,63
2013-7-27,3,34,67,17,19,67
2013-7-28,4,27,49,28,204,204
2013-7-29,3,41,72,14,196,196
2013-7-3,5,36,63,9,146,146
2013-7-30,4,30,89,13,246,246
2013-7-31,4,24,60,9,218,218
2013-7-4,4,29,56,7,210,210
2013-7-5,3,23,44,7,171,171
2013-7-6,7,30,90,13,211,211
2013-7-7,5,22,80,15,215,215
2013-7-8,3,28,68,12,130,130
2013-7-9,4,31,61,13,32,61
2013-8-1,2,32,34,11,36,36
2013-8-10,5,22,92,14,259,259
2013-8-11,3,25,106,23,153,153
2013-8-12,2,24,50,8,118,118
2013-8-13,4,27,69,11,180,180
2013-8-14,3,38,69,10,220,220
2013-8-15,5,31,93,18,206,206
